sense_start,sense_length,on_target_energy_fits,on_target_energy_sum,on_target_energy_max
0,16,0,0.0,0.0
1,16,0,0.0,0.0
2,16,0,0.0,0.0
3,16,0,0.0,0.0
4,16,1,-14.8,-14.8
5,16,0,0.0,0.0
6,16,0,0.0,0.0
7,16,0,0.0,0.0
8,16,0,0.0,0.0
9,16,0,0.0,0.0
10,16,0,0.0,0.0
11,16,0,0.0,0.0
12,16,0,0.0,0.0
13,16,0,0.0,0.0
14,16,0,0.0,0.0
15,16,0,0.0,0.0
16,16,0,0.0,0.0
17,16,0,0.0,0.0
18,16,0,0.0,0.0
19,16,0,0.0,0.0
20,16,0,0.0,0.0
21,16,0,0.0,0.0
22,16,0,0.0,0.0
23,16,0,0.0,0.0
24,16,0,0.0,0.0
25,16,0,0.0,0.0
26,16,0,0.0,0.0
27,16,0,0.0,0.0
28,16,0,0.0,0.0
29,16,0,0.0,0.0
30,16,0,0.0,0.0
31,16,0,0.0,0.0
32,16,0,0.0,0.0
33,16,0,0.0,0.0
34,16,0,0.0,0.0
35,16,0,0.0,0.0
36,16,0,0.0,0.0
37,16,0,0.0,0.0
38,16,0,0.0,0.0
39,16,0,0.0,0.0
40,16,0,0.0,0.0
41,16,0,0.0,0.0
42,16,0,0.0,0.0
43,16,0,0.0,0.0
44,16,0,0.0,0.0
45,16,0,0.0,0.0
46,16,0,0.0,0.0
47,16,0,0.0,0.0
48,16,1,-14.35,-14.35
49,16,0,0.0,0.0
50,16,0,0.0,0.0
51,16,0,0.0,0.0
52,16,0,0.0,0.0
53,16,0,0.0,0.0
54,16,0,0.0,0.0
55,16,0,0.0,0.0
56,16,0,0.0,0.0
57,16,0,0.0,0.0
58,16,0,0.0,0.0
59,16,0,0.0,0.0
60,16,0,0.0,0.0
61,16,0,0.0,0.0
62,16,0,0.0,0.0
63,16,0,0.0,0.0
64,16,0,0.0,0.0
65,16,0,0.0,0.0
66,16,0,0.0,0.0
67,16,0,0.0,0.0
68,16,0,0.0,0.0
69,16,1,-14.45,-14.45
70,16,0,0.0,0.0
71,16,0,0.0,0.0
72,16,0,0.0,0.0
73,16,0,0.0,0.0
74,16,0,0.0,0.0
75,16,0,0.0,0.0
76,16,0,0.0,0.0
77,16,1,-17.89,-17.89
78,16,0,0.0,0.0
79,16,0,0.0,0.0
80,16,0,0.0,0.0
81,16,0,0.0,0.0
82,16,0,0.0,0.0
83,16,0,0.0,0.0
84,16,0,0.0,0.0
85,16,0,0.0,0.0
86,16,0,0.0,0.0
87,16,0,0.0,0.0
88,16,0,0.0,0.0
89,16,0,0.0,0.0
90,16,0,0.0,0.0
91,16,0,0.0,0.0
92,16,0,0.0,0.0
93,16,0,0.0,0.0
94,16,0,0.0,0.0
95,16,0,0.0,0.0
96,16,0,0.0,0.0
97,16,0,0.0,0.0
98,16,0,0.0,0.0
99,16,0,0.0,0.0
100,16,0,0.0,0.0
101,16,0,0.0,0.0
102,16,0,0.0,0.0
103,16,0,0.0,0.0
104,16,0,0.0,0.0
105,16,0,0.0,0.0
106,16,0,0.0,0.0
107,16,0,0.0,0.0
108,16,0,0.0,0.0
109,16,0,0.0,0.0
110,16,0,0.0,0.0
111,16,0,0.0,0.0
112,16,0,0.0,0.0
113,16,1,-17.6,-17.6
114,16,1,-14.65,-14.65
115,16,0,0.0,0.0
116,16,0,0.0,0.0
117,16,0,0.0,0.0
118,16,0,0.0,0.0
119,16,0,0.0,0.0
120,16,0,0.0,0.0
121,16,0,0.0,0.0
122,16,0,0.0,0.0
123,16,0,0.0,0.0
124,16,0,0.0,0.0
125,16,0,0.0,0.0
126,16,0,0.0,0.0
127,16,0,0.0,0.0
128,16,0,0.0,0.0
129,16,0,0.0,0.0
130,16,0,0.0,0.0
131,16,0,0.0,0.0
132,16,0,0.0,0.0
133,16,0,0.0,0.0
134,16,0,0.0,0.0
135,16,0,0.0,0.0
136,16,0,0.0,0.0
137,16,0,0.0,0.0
138,16,0,0.0,0.0
139,16,0,0.0,0.0
140,16,0,0.0,0.0
141,16,0,0.0,0.0
142,16,0,0.0,0.0
143,16,1,-15.05,-15.05
144,16,0,0.0,0.0
145,16,0,0.0,0.0
146,16,0,0.0,0.0
147,16,0,0.0,0.0
148,16,0,0.0,0.0
149,16,0,0.0,0.0
150,16,2,-32.15,-16.55
151,16,0,0.0,0.0
152,16,0,0.0,0.0
153,16,0,0.0,0.0
154,16,0,0.0,0.0
155,16,0,0.0,0.0
156,16,0,0.0,0.0
157,16,0,0.0,0.0
158,16,0,0.0,0.0
159,16,0,0.0,0.0
160,16,0,0.0,0.0
161,16,0,0.0,0.0
162,16,0,0.0,0.0
163,16,0,0.0,0.0
164,16,0,0.0,0.0
165,16,0,0.0,0.0
166,16,0,0.0,0.0
167,16,0,0.0,0.0
168,16,0,0.0,0.0
169,16,0,0.0,0.0
170,16,0,0.0,0.0
171,16,0,0.0,0.0
172,16,0,0.0,0.0
173,16,0,0.0,0.0
174,16,0,0.0,0.0
175,16,0,0.0,0.0
176,16,0,0.0,0.0
177,16,0,0.0,0.0
178,16,0,0.0,0.0
179,16,0,0.0,0.0
180,16,0,0.0,0.0
181,16,0,0.0,0.0
182,16,0,0.0,0.0
183,16,0,0.0,0.0
184,16,0,0.0,0.0
185,16,0,0.0,0.0
186,16,0,0.0,0.0
187,16,0,0.0,0.0
188,16,1,-14.1,-14.1
189,16,0,0.0,0.0
190,16,0,0.0,0.0
191,16,0,0.0,0.0
192,16,0,0.0,0.0
193,16,0,0.0,0.0
194,16,0,0.0,0.0
195,16,0,0.0,0.0
196,16,0,0.0,0.0
197,16,0,0.0,0.0
198,16,0,0.0,0.0
199,16,0,0.0,0.0
200,16,0,0.0,0.0
201,16,0,0.0,0.0
202,16,0,0.0,0.0
203,16,0,0.0,0.0
204,16,0,0.0,0.0
205,16,0,0.0,0.0
206,16,0,0.0,0.0
207,16,0,0.0,0.0
208,16,0,0.0,0.0
209,16,0,0.0,0.0
210,16,0,0.0,0.0
211,16,0,0.0,0.0
212,16,0,0.0,0.0
213,16,0,0.0,0.0
214,16,0,0.0,0.0
215,16,0,0.0,0.0
216,16,0,0.0,0.0
217,16,0,0.0,0.0
218,16,0,0.0,0.0
219,16,0,0.0,0.0
220,16,0,0.0,0.0
221,16,0,0.0,0.0
222,16,0,0.0,0.0
223,16,0,0.0,0.0
224,16,0,0.0,0.0
225,16,0,0.0,0.0
226,16,0,0.0,0.0
227,16,0,0.0,0.0
228,16,0,0.0,0.0
229,16,0,0.0,0.0
230,16,0,0.0,0.0
231,16,0,0.0,0.0
232,16,0,0.0,0.0
233,16,2,-32.09,-17.79
234,16,0,0.0,0.0
235,16,0,0.0,0.0
236,16,0,0.0,0.0
237,16,0,0.0,0.0
238,16,0,0.0,0.0
239,16,0,0.0,0.0
240,16,0,0.0,0.0
241,16,0,0.0,0.0
242,16,0,0.0,0.0
